,product_id,product_name,category_id,no_orders
879,56584,WANDA H-Type Battery Cage (3 Tiers | PVC Feeder | Fully Galvanized | 90/96 Birds Capacity),880.0,1
878,76444,,,1
877,65552,Gobara Herbicide (Saro Brand | 1 Liter),5134.0,1
876,74014,,,2
875,47736,Hanging Plastic Feeder For Poultry (5-10kg Feed Capacity),880.0,1
874,74485,,,1
873,58820,Fistresvits (Multivitamins | 1L | 2L | 4L),2839.0,2
872,76583,,,1
871,62287,2x4 MultiMax Dry Feeder (Weaners | Finishers | 1180x800x990),880.0,2
870,65815,Nuzaka F1 Cabbage Seeds (East West Seed Brand | 1000 Seeds),5134.0,1
869,72587,,,1
868,61830,TopFeeds Grower Mash - 25kg,2701.0,1
867,74167,,,2
866,60276,Piper Dewormer WSP (100g Per Sachet),2703.0,1
865,68581,ND IB Vaccine (2-in-1 | Large Dose Vial | 1000 | 2000) + Transport Flask,2703.0,1
864,76772,,,1
863,64166,Dwarf Coconut Palm (Malaysian Variety),4839.0,2
862,67582,Collard Georgia Cabbage Seeds (Dizengoff Brand | 25g),5134.0,1
861,75249,,,1
860,31813,,,1
859,27650,NUFOTOX PRO (Mycotoxicosis Control),2703.0,1
858,49490,Day-Old NASTECH Broilers (Commercial Arbor Acres Plus),3570.0,2
857,74198,,,2
856,59680,Dwarf Coconut Seedlings (Malaysia Variety),5140.0,1
855,76516,,,2
854,60545,Globadry (Litter Drying Agent),2703.0,1
853,71719,,,1
852,23859,SuperVit Plus (Multivitamin For Poultry) 100g,2703.0,1
851,63351,Megadox-N | For Veterinary Use | Vanguard | {100g},2703.0,1
850,52395,Maxi-VitaConc (Multivitamin and Amino Acid Supplement) - 100g,2839.0,1
849,58212,MIAVIT (Oral Multivitamin Liquid | 5 Litres),2839.0,1
848,19021,Liver Vital Liquid | For Liver | 1 Litre,2703.0,1
847,23605,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),880.0,1
846,22242,Fowl Pox Injector (For Poultry),973.0,1
845,72574,,,1
844,76721,,,1
843,74395,,,1
842,73058,,,1
841,77183,,,1
840,25343,"Feed Formula for Optimal Laying Birds Performance (Chicks-Pullets, Growers and Layers) E-Book",2630.0,1
839,65749,,,1
838,70557,,,1
837,26550,"DRAMINSKI Estrous Detector (Cows, Mares, Ewes, Goats and Pigs)",880.0,1
836,77527,,,1
835,76766,,,1
834,77526,,,1
833,77531,,,1
832,23455,Doxy-Gen Antibiotic - 100g,2703.0,1
831,76942,,,1
830,58828,Aminovitapeak (Multivitamins | 100g | 200g),2839.0,1
829,70330,,,1
828,76561,,,1
827,29099,Commercial Day-Old NASTECH Broilers (Arbor Acres Plus),2848.0,1
826,64523,Waterline Cleaner (Pipe Dredger),880.0,1
825,29523,Clarias Spp Catfish Juveniles [Jumbo/Standard/Regular Sizes] (Special Maxi Brand),876.0,1
824,77766,,,1
823,34180,PenStrep 20/25 (Injectable Penicillin + Dihydrostreptomycin for Livestock) 100ml,2840.0,1
822,77827,,,1
821,31205,1056 Eggs Capacity Incubator (Portable and Fully Automated | Electric Powered-500W),880.0,1
820,16494,Egg Candling Machine (KGE Brand | 120 Eggs | 0.2 KW),880.0,1
819,78000,,,1
818,78001,,,1
817,11779,Various Calibration/Standardized Weights for Balance Scales (Lock Type),3564.0,2
816,24675,AQUA BIO-MIX FOR CATFISH,4105.0,1
815,75965,,,1
814,67163,Nursery Bags (Grow Bags | 50 Pcs per Bundle),880.0,1
813,71901,,,1
812,76759,,,1
811,31468,Restraining Cones for Slaughter of Birds (Stainless Steel | 12 Birds Capacity),880.0,1
810,73651,,,1
809,68775,Debeaking Machine (For Poultry | Electric | 110V),973.0,1
808,66539,,,1
