,product_id,product_name,category_id,no_orders
1251,17880,Excellent Starter and Finisher Formula for Great Broiler Weight (eBook),2630.0,4
1250,65784,Greengo 918 F1 Cucumber Seeds (500 Seeds | 1000 Seeds),5134.0,1
1249,25005,Vaccination Program-The Complete Guide For Different Breeds of Poultry (E-Book),2630.0,9
1247,16526,STEP BY STEP PRACTICAL GUIDE TO SUCCESSFUL COMMERCIAL UGU (FLUTED PUMPKIN) FARMING,2630.0,2
1246,29727,Broiler Starter Concentrate (Agricare Brand) - 30Kg Bag,4104.0,1
1245,69171,,,5
1244,28950,Digital Temperature and Humidity Meter (with Clock) - HTC 1/2 Brand,880.0,5
1242,30918,Jumbo Plastic Egg Crates (Bundle of 36 Pieces | Lovleen Brand),3050.0,9
1240,31386,Digital pH Meter (0.01pH Accuracy | 0-60 Celsius),880.0,4
1239,31282,Digital Water Quality Tester (Total Dissolved Solids TDS Meter 3),880.0,5
1238,59845,Irrigation Sprinkler (For Drip Irrigation),880.0,1
1237,27175,Chicken/Meat Cutter (Electric Powered) - Promo,8628.0,2
1236,27152,Mini Crane Digital Scale (300 kg Capacity Hook/Hanging Type) - Promo,880.0,2
1235,64525,Rabbit Nipple Drinker (Pack of 100 Pieces),880.0,2
1234,46836,High Pressure Washer (Hot/Cold Water Cleaner),880.0,2
1233,30522,Motorized Multipurpose Knapsack Weeder and Tiller (Rotary | 4-Stroke Engine),880.0,4
1232,68309,Broiler Concentrate Starter | Hendrix | 50Kg Bag,4104.0,2
1230,64533,Poultry Plastic Rope Adjuster | Cord Adjuster,880.0,1
1229,21944,Morigad Germicide - 4L,2703.0,2
1227,56238,NPK 20:20:20 Agrovert Foliar Fertilizer,4793.0,2
1226,69293,,,9
1225,65548,Sunphosate 360SL (Glyphosate Herbicide | 1L),5134.0,6
1224,49840,PPS Sure (Poultry Feed Attractant/Performance Booster),2842.0,1
1223,30515,MIAVIT Multivitamin Liquid,2839.0,5
1222,27633,NUFOCARE POWDER(P) - (Natural Growth Promoter and Amplifier; Acidifier),2703.0,3
1221,21091,Transparent Egg Crates (Per Carton | Lovleen/GeePee Brand),880.0,3
1220,29335,Super Gro (Liquid Organic Fertilizer) 5L,5129.0,8
1219,57235,Red Force (Fungicide | 50g Sachets per Pack),5129.0,3
1218,62016,Wheat Bran (Crown Flour Mill Brand | 50kg),2701.0,2
1217,69851,,,1
1216,67789,Vigorlite | Multivitamin &amp; Amino-Acid  |100g,2703.0,9
1215,68769,Flip-Top Feeders (For Brooder Birds | Plastic),880.0,2
1214,22014,"Poultry Venture: Production, Business, and Benefits",7203.0,4
1213,68810,Poultry Clip Nipple For Poultry Birds (Pack of 100),880.0,2
1212,24400,Stainless Steel Feather Plucking/Defeathering Machine,7203.0,5
1211,24061,AQUA PRO (Probiotic Promoter Supplement For Fish),2842.0,1
1210,55765,Aller Futura Ex (6kg Crumbles for Fry),4124.0,4
1209,30466,Portable Fish Pond (Collapsible Tarpaulin Material | Metal Support),880.0,7
1208,62968,Maradona F1 (Dwarf Papaya | 500 Seeds | 1000 Seeds),5141.0,3
1207,18636,Evolution Confort Backpack Pump Sprayer (CP15: Cooper Pegler Brand) 15L,880.0,1
1206,48401,LCD Display Scale (Rechargeable | Digital Display | 40kg Capacity),880.0,5
1205,61064,2Sure Hand and Surface Sanitizer (100mL | 500mL | 4.5L | 10L),2703.0,4
1204,63735,Poultry Plucker Fingers (High Quality Rubber Material),880.0,4
1203,47543,Dizengoff 20L Knapsack Sprayer (Evolution Model),880.0,1
1202,16093,"Aquafeed Production, Economics; Health Impact on Fish Management (PDF eBook | 2020 Edition)",2630.0,6
1201,29861,Amitraz 20% (Ectoparasiticide | Emulsifiable Concentrate) - 100ml,3388.0,2
1200,24576,Tick and Flea Powder (RAYVE Brand) - 150g,3387.0,2
1199,25134,Feed grade DL-Methionine For Livestock (25kg),2703.0,2
1198,55798,Plastic Transport Crate with Access Door (For Live Poultry),880.0,1
1197,55799,Chicken Plucker Fingers (For De-feathering Machine)- Pack of 100,880.0,5
1196,61734,Portable Disinfectant Fogger Machine (Clean Air Spray | KS900W | KS400W),880.0,1
1195,49486,SAYED Broilers (Day-Old Chicks),3570.0,10
1194,34414,Bella Rabbit Feed (Weaners and Breeders) 25kg,4582.0,2
1193,21836,Farrowing Crate with Floor and Heating lamp (for Pigs),880.0,2
1192,66787,CYK Double Milking Machine (Mobile Type | Silicone Liner | DR04079 Model),880.0,1
1191,70220,,,1
1190,70225,,,1
1189,70223,,,1
1188,65622,Growers Premix | Vit + Min | 2.5kg,4105.0,1
1187,27750,Commercial Day-Old NPG Broilers,3570.0,10
1186,55467,"Aller Infa Ex (6kg Fry Feed, 64% CP)",4124.0,1
1185,55768,Aller Claria Float (15kg Feed for Growers),4124.0,10
1184,69890,,,9
1183,18573,Chick Mash (Hybrid Brand) – 25kg Bag,2701.0,1
1182,18786,High Quality Pig Nipples,2826.0,1
1181,67505,,,1
1180,68286,Starter Feed | Hendrix Brand | 25kg,2701.0,2
1179,70387,,,1
1178,47002,Electronic Platform Scale (150 kg Capacity | Camry Model),880.0,1
1177,69926,,,1
1176,22704,Adjustable 3-in-1 Drinkers For Floor Reared Chicks (4 Litres) - Dozen,880.0,1
1175,68774,Poultry Automatic Injector (Chicken Syringe),880.0,4
1174,66636,Hammer Mill Imported|Locally Fabricated (250-360Kg/Hr),880.0,1
1173,69163,,,1
1172,64807,Perfect Killer Insecticide |1 Litre | 250 ML,2857.0,1
1171,31820,Hanging Plastic Feeder For Poultry (5-10kg Feed Capacity),880.0,1
1170,48460,Plastic Basket (Fruits | Vegetables),4747.0,2
1169,21220,DICLACOX (Anticoccidial Liquid) - 1 Litre,2859.0,1
1168,17837,EKOPAK Water Resistant Crates (Detachable Twin-Six Pack | Single Six Box) - Bundle of 100 Pieces,880.0,2
1167,69259,,,8
1166,33251,Plastic Egg Transport Basket (One-Piece Plastic | 7 Crates Capacity),3050.0,2
1165,69906,,,1
1164,16606,Handheld Electric Debeaker for Poultry (Promo),7203.0,3
1163,70292,,,5
1162,23778,Elongated Hanging Feeder For Poultry (10 kg),880.0,2
1161,21126,AMOXY-COL Antibiotic {100g},2703.0,1
1160,62107,Automatic Nipple Drinker for Poultry (Pack of 100 Pieces) -Promo,880.0,3
1159,61619,Broiler Prestarter Feed (Hendrix Brand | 25kg),2701.0,1
1157,69912,,,4
1156,69853,,,1
1155,17680,Teledart Blowpipe for Professional and Humane Remote Injection of Animals,8077.0,1
1154,65764,Agric-Zyme 3× (Organic Fertilizer and Soil Conditioner | 1L),5134.0,4
1153,47834,GLUCOSE-CEE (Dextrose and Vitamin C) 100g,2839.0,3
1151,66076,,,2
1150,69254,,,3
1149,58840,Oven (Gas and Charcoal Oven | 50kg Capacity) - Fish Processing,880.0,2
1148,36470,Automatic Chicken Cup Drinkers (Detachable Attachment for PVC Pipe | Screw Type),3034.0,2
1147,31244,Diaphragm Type Ballcock (Plastic Float/Fill-Valve for Water Flow Control),2850.0,1
1146,65312,GenTylo Antibiotic | Water Soluble Powder {100g},2840.0,2
1145,65309,Vigorlite Supplement - 100g,2703.0,1
1144,70195,,,2
1143,25779,Transport Crate for Live Poultry  (with Sliding Access Door) - Pre-Order,880.0,7
1142,68776,Feather Plucking Machine (Electric-Powered),880.0,5
1141,69751,,,1
1140,62066,16L Hand Sprayer - Magic Farms Logo Brand,880.0,1
1139,11839,EKOPAK Water Resistant Egg Crates/Egg Trays (Bundle of 100 Pieces),880.0,2
1138,70918,,,2
1137,65672,Platinum 701 F1 Tomato Seeds (East West Seed | 10g),5134.0,6
1136,70915,,,3
1135,63448,Kilele F1 Tomato Seeds (Syngenta | 1000 Seeds),5134.0,1
1134,64811,Lincoln Knapsack Sprayer | 16 Litres,880.0,2
